"LabelValue","Name","Color_R","Color_G","Color_B","Color_A","Category_CodingScheme","Category_CodeValue","Category_CodeMeaning","Type_CodingScheme","Type_CodeValue","Type_CodeMeaning","TypeModifier_CodingScheme","TypeModifier_CodeValue","TypeModifier_CodeMeaning","Region_CodingScheme","Region_CodeValue","Region_CodeMeaning","RegionModifier_CodingScheme","RegionModifier_CodeValue","RegionModifier_CodeMeaning"
1,"cranium",158,247,109,255,"SCT","123037004","Anatomical Structure","UBERON","3128","cranium","","","","","","","","",""
2,"mandible",78,26,157,255,"SCT","123037004","Anatomical Structure","UBERON","1684","mandible","","","","","","","","",""
3,"hyoid apparatus",240,35,157,255,"SCT","123037004","Anatomical Structure","UBERON","10272","hyoid apparatus","","","","","","","","",""
4,"cervical vertebra",250,170,50,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0005944","axial skeleton plus cranial skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_0002413","cervical vertebra","","","","","","","","",""
5,"trunk vertebra",244,45,27,255,"SCT","123037004","Anatomical Structure","UBERON","11677","trunk vertebra","","","","","","","","",""
6,"sacral vertebra",255,85,0,255,"SCT","123037004","Anatomical Structure","UBERON","1094","sacral vertebra","","","","","","","","",""
7,"caudal vertebra",255,170,127,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0005944","axial skeleton plus cranial skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_0001095","caudal vertebra","","","","","","","","",""
8,"ilium",101,56,199,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0002091","appendicular skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_0001273","ilium","","","","","","","","",""
9,"ischium",240,77,115,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0002091","appendicular skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_0001274","ischium","","","","","","","","",""
10,"pubis",255,170,255,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0002091","appendicular skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_0001275","pubis","","","","","","","","",""
11,"clavicle bone",116,217,69,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0002091","appendicular skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_0001105","clavicle bone","","","","","","","","",""
12,"interclavicle",236,148,208,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0002091","appendicular skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_0011655","interclavicle","","","","","","","","",""
13,"cleithrum",237,217,114,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0002091","appendicular skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_0004741","cleithrum","","","","","","","","",""
14,"sternum",87,197,211,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0005944","axial skeleton plus cranial skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_0000975","sternum","","","","","","","","",""
15,"coracoid bone",85,0,127,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0002091","appendicular skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_0004743","coracoid bone","","","","","","","","",""
16,"procoracoid element",41,95,204,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0002091","appendicular skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_0011248","procoracoid element","","","","","","","","",""
17,"suprascapula",145,235,120,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0002091","appendicular skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_3000748","suprascapula","","","","","","","","",""
18,"scapula",255,211,52,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0002091","appendicular skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_0006849","scapula","","","","","","","","",""
19,"acromion",0,255,255,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0002091","appendicular skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_0002497","acromion","","","","","","","","",""
20,"humerus",49,87,255,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0002091","appendicular skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_0000976","humerus","","","","","","","","",""
21,"radius bone",208,241,141,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0002091","appendicular skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_0001423","radius bone","","","","","","","","",""
22,"ulna",132,177,200,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0002091","appendicular skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_0001424","ulna","","","","","","","","",""
23,"carpal bone",205,77,121,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0002091","appendicular skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_0001435","carpal bone","","","","","","","","",""
24,"metacarpal bone",233,233,99,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0002091","appendicular skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_0002374","metacarpal bone","","","","","","","","",""
25,"phalanx of manus",255,170,201,255,"SCT","123037004","Anatomical Structure","UBERON","1436","phalanx of manus","","","","","","","","",""
26,"femur",240,77,115,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0002091","appendicular skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_0000981","femur","","","","","","","","",""
27,"tibia",167,171,121,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0002091","appendicular skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_0000979","tibia","","","","","","","","",""
28,"fibula",41,95,204,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0002091","appendicular skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_0001446","fibula","","","","","","","","",""
29,"tarsal bone",240,77,115,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0002091","appendicular skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_0001447","tarsal bone","","","","","","","","",""
30,"metatarsal bone",199,199,84,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0002091","appendicular skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_0001448","metatarsal bone","","","","","","","","",""
31,"phalanx of pes",225,150,177,255,"SCT","123037004","Anatomical Structure","UBERON","1449","phalanx of pes","","","","","","","","",""
32,"rib",210,210,210,255,"SCT","123037004","Anatomical Structure","UBERON","2228","rib","","","","","","","","",""
33,"patella",255,207,218,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0002091","appendicular skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_0002446","patella","","","","","","","","",""
